number,status,codeshareStatus,isCargo,scheduled_utc,revised_utc,gate,dest_iata,dest_name,dest_country,airline_name,airline_iata,aircraft_model,delay_min,is_outlier,dep_hour,dep_dow,dep_month,is_weekend,route,route_avg_delay,aircraft_family
LX 2804,Departed,IsOperator,False,2025-10-19 07:10:00+00:00,2025-10-19 07:10:00+00:00,A54,GVA,Geneva,ch,SWISS,LX,Airbus A220-300,0.0,False,7,6,10,1,GVA,7.534985422740525,Narrow-body
LX 1852,Departed,IsOperator,False,2025-10-19 07:15:00+00:00,2025-10-19 07:15:00+00:00,B02,SKG,Thessaloniki,gr,SWISS,LX,Embraer 190,0.0,False,7,6,10,1,SKG,5.921052631578948,Regional
OS 562,Departed,IsOperator,False,2025-10-19 06:50:00+00:00,2025-10-19 07:20:00+00:00,A67,VIE,Vienna,at,Austrian,OS,Airbus A320 NEO,30.0,False,6,6,10,1,VIE,6.910039113428944,Narrow-body
LX 2110,Departed,IsOperator,False,2025-10-19 07:15:00+00:00,2025-10-19 07:20:00+00:00,B43,AGP,Málaga,es,SWISS,LX,Airbus A330,5.0,False,7,6,10,1,AGP,10.074906367041198,Wide-body
WK 120,Departed,IsOperator,False,2025-10-19 06:30:00+00:00,2025-10-19 07:25:00+00:00,D39,DJE,Houmt El Souk,tn,Edelweiss Air,WK,Airbus A320,55.0,True,6,6,10,1,DJE,9.25,Narrow-body
LX 1830,Departed,IsOperator,False,2025-10-19 07:25:00+00:00,2025-10-19 07:25:00+00:00,A83,ATH,Athens,gr,SWISS,LX,Airbus A321,0.0,False,7,6,10,1,ATH,9.11860465116279,Narrow-body
WK 348,Departed,IsOperator,False,2025-10-19 07:25:00+00:00,2025-10-19 07:30:00+00:00,B38,HER,Heraklion,gr,Edelweiss Air,WK,Airbus A350-900,5.0,False,7,6,10,1,HER,5.581081081081081,Wide-body
JU 331,Departed,IsOperator,False,2025-10-19 07:30:00+00:00,2025-10-19 07:30:00+00:00,D35,BEG,Belgrade,rs,Air Serbia,JU,Embraer 190,0.0,False,7,6,10,1,BEG,10.236607142857142,Regional
LX 1102,Departed,IsOperator,False,2025-10-19 07:30:00+00:00,2025-10-19 07:35:00+00:00,B31,MUC,Munich,de,SWISS,LX,Airbus A220-100,5.0,False,7,6,10,1,MUC,8.583617747440274,Narrow-body
QR 94,Departed,IsOperator,False,2025-10-19 07:40:00+00:00,2025-10-19 07:35:00+00:00,E57,DOH,Doha,qa,Qatar,QR,Airbus A350-900,-5.0,False,7,6,10,1,DOH,3.429411764705882,Wide-body
LX 2174,Departed,IsOperator,False,2025-10-19 07:35:00+00:00,2025-10-19 07:40:00+00:00,A74,ALC,Alicante,es,SWISS,LX,Airbus A321 NEO,5.0,False,7,6,10,1,ALC,9.637795275590552,Narrow-body
XQ 125,Departed,IsOperator,False,2025-10-19 07:40:00+00:00,2025-10-19 07:40:00+00:00,E62,AYT,Antalya,tr,Sun Express,XQ,Boeing 737,0.0,False,7,6,10,1,AYT,14.958677685950413,Narrow-body
EN 8117,Departed,IsOperator,False,2025-10-19 07:30:00+00:00,2025-10-19 07:40:00+00:00,A75,FRA,Frankfurt-am-Main,de,Air Dolomiti,EN,Embraer 190,10.0,False,7,6,10,1,FRA,7.53932584269663,Regional
LX 1248,Departed,IsOperator,False,2025-10-19 07:40:00+00:00,2025-10-19 07:40:00+00:00,A86,ARN,Stockholm,se,SWISS,LX,Airbus A220-300,0.0,False,7,6,10,1,ARN,9.477031802120141,Narrow-body
LX 154,Departed,IsOperator,False,2025-10-19 07:45:00+00:00,2025-10-19 07:45:00+00:00,E27,BOM,Mumbai,in,SWISS,LX,Airbus A330-300,0.0,False,7,6,10,1,BOM,6.944444444444445,Wide-body
WK 370,Departed,IsOperator,False,2025-10-19 07:25:00+00:00,2025-10-19 07:45:00+00:00,E58,LCA,Larnarca,cy,Edelweiss Air,WK,Airbus A320,20.0,False,7,6,10,1,LCA,8.384057971014492,Narrow-body
NJE 565,Departed,IsOperator,True,2025-10-19 07:45:00+00:00,2025-10-19 07:45:00+00:00,Unknown,LBG,Paris,fr,NetJets Europe,Unknown,Boeing 727-100 Freighter,0.0,False,7,6,10,1,LBG,-4.340425531914893,Other
LX 1164,Departed,IsOperator,False,2025-10-19 07:30:00+00:00,2025-10-19 07:50:00+00:00,A57,STR,Stuttgart,de,SWISS,LX,Embraer 195,20.0,False,7,6,10,1,STR,5.4523809523809526,Regional
VY 6247,Departed,IsOperator,False,2025-10-19 07:45:00+00:00,2025-10-19 07:50:00+00:00,A82,BCN,Barcelona,es,Vueling,VY,Airbus A321,5.0,False,7,6,10,1,BCN,9.162921348314606,Narrow-body
UA 12,Departed,IsOperator,False,2025-10-19 07:50:00+00:00,2025-10-19 07:50:00+00:00,E42,ORD,Chicago,us,United,UA,Boeing 767-300,0.0,False,7,6,10,1,ORD,15.425287356321839,Wide-body
LX 2140,Departed,IsOperator,False,2025-10-19 07:50:00+00:00,2025-10-19 07:55:00+00:00,A72,VLC,Valencia,es,SWISS,LX,Airbus A320 NEO,5.0,False,7,6,10,1,VLC,7.36734693877551,Narrow-body
LX 2066,Departed,IsOperator,False,2025-10-19 07:45:00+00:00,2025-10-19 07:58:00+00:00,A85,OPO,Porto,pt,SWISS,LX,Airbus A320,13.0,False,7,6,10,1,OPO,13.863888888888889,Narrow-body
LX 80,Departed,IsOperator,False,2025-10-19 07:55:00+00:00,2025-10-19 08:00:00+00:00,E19,YYZ,Toronto,ca,SWISS,LX,Airbus A330,5.0,False,7,6,10,1,YYZ,12.20388349514563,Wide-body
LX 2158,Departed,IsOperator,False,2025-10-19 08:00:00+00:00,2025-10-19 08:00:00+00:00,A73,PMI,Palma De Mallorca,es,SWISS,LX,Airbus A321,0.0,False,8,6,10,1,PMI,10.341603053435115,Narrow-body
LX 16,Departed,IsOperator,False,2025-10-19 08:00:00+00:00,2025-10-19 08:00:00+00:00,E23,JFK,New York,us,SWISS,LX,Airbus A330,0.0,False,8,6,10,1,JFK,8.972868217054264,Wide-body
TI 291,Departed,IsOperator,False,2025-10-19 08:10:00+00:00,2025-10-19 08:04:00+00:00,Unknown,AYT,Antalya,tr,Tailwind,TI,Boeing 737,-6.0,False,8,6,10,1,AYT,14.958677685950413,Narrow-body
